Date,total_record
2013/10/07,0
2013/10/08,1255
2013/10/09,798
2013/10/10,922
2013/10/11,777
2013/10/12,1181
2013/10/13,1
2013/10/14,0
2013/10/15,2097
2013/10/16,718
2013/10/17,740
2013/10/18,593
2013/10/19,985
2013/10/20,0
2013/10/21,3
2013/10/22,1423
2013/10/23,1008
2013/10/24,750
2013/10/25,806
2013/10/26,834
2013/10/27,0
2013/10/28,3
2013/10/29,888
2013/10/30,1027
2013/10/31,743
2013/11/01,945
2013/11/02,870
2013/11/03,0
2013/11/04,12
2013/11/05,1263
2013/11/06,878
2013/11/07,647
2013/11/08,582
2013/11/09,0
2013/11/10,1074
2013/11/11,1
2013/11/12,1377
2013/11/13,865
2013/11/14,1016
2013/11/15,695
2013/11/16,1023
2013/11/17,0
2013/11/18,1
2013/11/19,1665
2013/11/20,1089
2013/11/21,940
2013/11/22,887
2013/11/23,1131
2013/11/24,1
2013/11/25,2
2013/11/26,1603
2013/11/27,1
2013/11/28,1980
2013/11/29,739
2013/11/30,669
2013/12/01,352
2013/12/02,0
2013/12/03,1466
2013/12/04,945
2013/12/05,846
2013/12/06,1
2013/12/07,1852
2013/12/08,0
2013/12/09,2
2013/12/10,1463
2013/12/11,1089
2013/12/12,736
2013/12/13,7
2013/12/14,1
2013/12/15,0
2013/12/16,3
2013/12/17,6
2013/12/18,4137
2013/12/19,1427
2013/12/20,766
2013/12/21,1042
2013/12/22,0
2013/12/23,0
2013/12/24,1314
2013/12/25,950
2013/12/26,245
2013/12/27,167
2013/12/28,3
2013/12/29,525
2013/12/30,2
2013/12/31,12
2014/01/01,4996
2014/01/02,418
2014/01/03,304
2014/01/04,0
2014/01/05,863
2014/01/06,1
2014/01/07,1360
2014/01/08,1010
2014/01/09,896
2014/01/10,999
2014/01/11,868
2014/01/12,0
2014/01/13,3
2014/01/14,0
2014/01/15,2461
2014/01/16,979
2014/01/17,994
2014/01/18,970
2014/01/19,0
2014/01/20,1
2014/01/21,1405
2014/01/22,667
2014/01/23,804
2014/01/24,1295
2014/01/25,843
2014/01/26,0
2014/01/27,4
2014/01/28,1823
2014/01/29,1001
2014/01/30,1029
2014/01/31,828
2014/02/01,993
2014/02/02,1
2014/02/03,0
2014/02/04,1597
2014/02/05,930
2014/02/06,1085
2014/02/07,709
2014/02/08,1118
2014/02/09,0
2014/02/10,0
2014/02/11,1479
2014/02/12,982
2014/02/13,815
2014/02/14,853
2014/02/15,733
2014/02/16,1
2014/02/17,0
2014/02/18,1488
2014/02/19,681
2014/02/20,935
2014/02/21,731
2014/02/22,759
2014/02/23,0
2014/02/24,1
2014/02/25,1119
2014/02/26,976
2014/02/27,799
